CountryName,ResourceRent,Agriculture,Forest
Mongolia,40.52,8.02,71.49
Northern Mariana Islands,0.00,63.78,6.52
Mozambique,19.47,47.98,63.52
Mauritania,24.12,0.21,38.53
Mauritius,0.00,19.03,42.36
Malawi,9.60,33.19,61.41
Malaysia,6.31,67.60,26.26
North America,0.57,36.04,25.69
Namibia,4.55,8.31,47.14
New Caledonia,,45.90,10.08
Niger,13.30,0.89,36.06
Nigeria,8.67,7.23,77.74
Nicaragua,3.46,25.88,42.09
Netherlands,0.36,11.18,53.31
Norway,5.92,33.18,2.69
Nepal,1.13,25.36,28.75
Nauru,0.00,0.00,20.00
New Zealand,1.04,38.56,40.45
OECD members,0.70,31.38,34.31
Oman,23.49,0.01,4.64
Other small states,10.33,25.99,40.47
Pakistan,1.05,1.85,47.79
Panama,0.19,61.89,30.36
Peru,8.91,57.66,18.51
Philippines,1.21,27.77,41.72
Palau,0.00,87.61,10.87
Papua New Guinea,21.83,74.10,2.63
Poland,0.96,30.88,46.94
Pre-demographic dividend,14.58,28.17,41.32
Puerto Rico,,56.29,22.29
"Korea, Dem. People’s Rep.",,40.73,21.84
Portugal,0.35,34.61,39.45
Paraguay,1.55,37.75,55.08
West Bank and Gaza,0.00,1.52,49.32
Pacific island small states,3.94,61.56,13.44
Post-demographic dividend,0.60,31.69,33.73
French Polynesia,,42.35,12.43
Qatar,17.95,0.00,5.77
Romania,0.85,30.12,58.77
Russian Federation,10.70,49.76,13.29
Rwanda,5.90,19.73,73.44
South Asia,1.86,17.51,56.81
Saudi Arabia,23.76,0.45,80.76
Sudan,4.62,,
Senegal,3.82,42.76,46.06
Singapore,0.00,23.06,0.93
Solomon Islands,22.60,77.86,3.86
Sierra Leone,22.15,43.05,54.71
El Salvador,0.94,12.58,76.45
San Marino,0.00,0.00,16.67
Somalia,15.18,10.02,70.34
Serbia,1.31,31.12,39.33
Sub-Saharan Africa (excluding high income),9.26,27.55,43.69
South Sudan,,,
Sub-Saharan Africa,9.25,27.56,43.69
Small states,9.52,36.46,34.24
Sao Tome and Principe,2.93,55.83,50.73
Suriname,33.18,98.26,0.56
Slovak Republic,0.29,40.35,39.23
Slovenia,0.21,61.97,30.66
Sweden,0.54,68.92,7.44
Eswatini,2.81,34.34,71.05
Sint Maarten (Dutch part),,,
Seychelles,0.11,88.41,3.37
Syrian Arab Republic,,2.67,75.81
Turks and Caicos Islands,,36.21,1.05
Chad,21.96,3.77,39.66
East Asia & Pacific (IDA & IBRD countries),1.87,29.72,49.02
Europe & Central Asia (IDA & IBRD countries),6.14,38.79,28.43
Togo,16.44,3.09,70.23
Thailand,1.67,32.16,43.28
Tajikistan,5.69,2.97,34.14
Turkmenistan,17.42,8.78,72.01
Latin America & the Caribbean (IDA & IBRD countries),3.74,46.24,37.57
Timor-Leste,31.46,45.38,25.55
Middle East & North Africa (IDA & IBRD countries),15.44,2.52,22.84
Tonga,0.05,12.50,45.83
South Asia (IDA & IBRD),1.86,17.51,56.81
Sub-Saharan Africa (IDA & IBRD countries),9.25,27.56,43.69
Trinidad and Tobago,7.70,46.02,10.53
Tunisia,2.41,6.77,64.84
Turkey,0.36,15.35,49.80
Tuvalu,0.00,33.33,60.00
Tanzania,6.62,51.58,44.76
Uganda,13.86,9.68,71.89
Ukraine,4.00,16.71,71.67
Upper middle income,3.61,34.58,35.37
Uruguay,1.65,10.67,82.56
United States,0.47,33.93,44.37
Uzbekistan,14.69,7.54,62.93
St. Vincent and the Grenadines,0.04,69.23,25.64
"Venezuela, RB",,52.74,24.49
British Virgin Islands,,24.13,46.67
Virgin Islands (U.S.),,49.97,11.43
Vietnam,2.86,48.06,39.28
Vanuatu,0.79,36.10,15.34
World,2.15,30.72,37.43
Samoa,0.45,60.42,12.37
Kosovo,0.76,,
"Yemen, Rep.",1.95,1.04,44.60
South Africa,5.14,7.62,79.83
Zambia,15.95,65.20,32.06
Zimbabwe,7.03,35.54,41.88
